,AI_Optimized
2021-01-03,100.0
2021-01-04,100.0
2021-01-05,102.22097795124054
2021-01-06,96.19475934829713
2021-01-07,101.75772669773102
2021-01-08,101.24488200864792
2021-01-11,103.87385912380219
2021-01-12,102.83103335781098
2021-01-13,103.18945367031098
2021-01-14,100.66153019876481
2021-01-15,98.06306314601899
2021-01-19,99.32700665159227
2021-01-20,101.92359234771729
2021-01-21,105.74977585296631
2021-01-22,104.56778074159622
2021-01-25,104.11594888525009
2021-01-26,102.45355884046555
2021-01-27,98.507267486763
2021-01-28,99.52338236398697
2021-01-29,99.05631006059646
2021-02-01,100.94177941446304
2021-02-02,103.38008322372437
2021-02-03,103.17991562976837
2021-02-04,104.1998442647934
2021-02-05,103.64126365041733
2021-02-08,110.10595501928329
2021-02-09,108.76764688262938
2021-02-10,112.58813527345656
2021-02-11,116.29803198013303
2021-02-12,114.09039853515623
2021-02-16,116.90427362890242
2021-02-17,113.66908403329847
2021-02-18,113.08191117353438
2021-02-19,113.82540435066221
2021-02-22,109.47303165006636
2021-02-23,107.84303302431105
2021-02-24,110.56540709915159
2021-02-25,101.4793734228134
2021-02-26,104.58305035696029
2021-03-01,105.55341472473144
2021-03-02,102.23241193256378
2021-03-03,97.64556240196228
2021-03-04,94.33215795707702
2021-03-05,95.02804114437103
2021-03-08,88.4069929977417
2021-03-09,95.50899756793976
2021-03-10,95.11230841999054
2021-03-11,99.11909486875535
2021-03-12,98.07019480018617
2021-03-15,100.62762202711107
2021-03-16,101.39043921604157
2021-03-17,101.77184416446687
2021-03-18,97.05183396234514
2021-03-19,97.99202370338443
2021-03-22,100.58946257286074
2021-03-23,99.70841160001757
2021-03-24,96.44536625909808
2021-03-25,95.62341759405139
2021-03-26,97.94243026781086
2021-03-29,98.77390968132025
2021-03-30,98.19036827735906
2021-03-31,101.82527323408131
2021-04-01,105.3609913196564
2021-04-05,106.70168396644596
2021-04-06,105.74050761938098
2021-04-07,107.89169307365421
2021-04-08,109.21521287221911
2021-04-09,109.84837688007357
2021-04-12,116.01969328937533
2021-04-13,119.60881856832506
2021-04-14,116.53840810279848
2021-04-15,123.10071854562761
2021-04-16,121.38626305017473
2021-04-19,117.18493120107652
2021-04-20,115.73174363727571
2021-04-21,117.175385868454
2021-04-22,113.28302673788072
2021-04-23,116.44879573259354
2021-04-26,118.07171374874115
2021-04-27,117.33748880519867
2021-04-28,116.53650486993791
2021-04-29,116.90267666339876
2021-04-30,114.49785079307559
2021-05-03,113.1800479851723
2021-05-04,109.47648809595111
2021-05-05,110.29461571111682
2021-05-06,110.78664880409244
2021-05-07,112.99316656084063
2021-05-10,108.82426259117129
2021-05-11,109.13321343345643
2021-05-12,104.95478600740434
2021-05-13,104.24342902650834
2021-05-14,108.65072567310332
2021-05-17,108.05953487730027
